,title,direction,leverage,open_date,entry_price,pnl,closed,closed_date,fill_price,pnl_percent,close_date,symbol,trade_type,num_contracts,contract_multiplier,quantity
40,ORDIUSDT Perpetual,Isolated,Long 5.00x,2023-12-25 18:03:51,75.43,276.85,"1,795 Contracts","12/25/2023, 18:05:32",77.018,+10.22%,2023-12-25 18:05:32,ORDIUSDT,open_long,1795,0.1,179.5
41,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-23 18:04:11,43697.3,-144.46,25 Contracts,"12/24/2023, 16:14:45",43158.6,-13.23%,2023-12-24 16:14:45,BTCUSDT,open_long,25,0.01,0.25
42,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-23 18:04:03,43686.9,-141.86,25 Contracts,"12/24/2023, 16:14:45",43158.6,-12.99%,2023-12-24 16:14:45,BTCUSDT,open_long,25,0.01,0.25
43,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-22 00:45:16,43979.1,-453.9,50 Contracts,"12/24/2023, 16:14:45",43158.6,-20.65%,2023-12-24 16:14:45,BTCUSDT,open_long,50,0.01,0.5
44,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-22 00:45:10,43966.1,-447.4,50 Contracts,"12/24/2023, 16:14:45",43158.6,-20.36%,2023-12-24 16:14:45,BTCUSDT,open_long,50,0.01,0.5
45,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 17:17:20,43522.1,-194.76,50 Contracts,"12/24/2023, 16:14:45",43158.6,-8.95%,2023-12-24 16:14:45,BTCUSDT,open_long,50,0.01,0.5
46,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 17:17:15,43508.2,-187.84,50 Contracts,"12/24/2023, 16:14:45",43158.6,-8.64%,2023-12-24 16:14:45,BTCUSDT,open_long,50,0.01,0.5
47,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:50:27,42840.0,455.06,151 Contracts,"12/24/2023, 16:14:45",43158.6,+7.03%,2023-12-24 16:14:45,BTCUSDT,open_long,151,0.01,1.51
48,BTCUSDT Perpetual,Isolated,Long 10.00x,2023-12-20 00:46:39,42801.5,523.54,154 Contracts,"12/24/2023, 16:14:45",43158.6,+7.94%,2023-12-24 16:14:45,BTCUSDT,open_long,154,0.01,1.54
49,SOLUSDT Perpetual,Isolated,Long 10.00x,2023-12-24 00:32:03,111.95,182.78,88 Contracts,"12/24/2023, 02:12:08",114.15,+18.55%,2023-12-24 02:12:08,SOLUSDT,open_long,88,1.0,88.0
