file_symbol,Start,End,Period,Start Value,Min Value,Max Value,End Value,Total Return [%],Benchmark Return [%],Total Time Exposure [%],Max Gross Exposure [%],Max Drawdown [%],Max Drawdown Duration,Total Orders,Total Fees Paid,Total Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg Winning Trade [%],Avg Losing Trade [%],Avg Winning Trade Duration,Avg Losing Trade Duration,Profit Factor,Expectancy,Sharpe Ratio,Calmar Ratio,Omega Ratio,Sortino Ratio,symbol
Id-rather-be-me-orders_BTCUSDT,2023-11-21 00:00:00+00:00,2024-02-20 23:45:00+00:00,94 days 04:00:00,69223.3357,63645.61309999996,88906.25549999998,88507.77870000005,27.85829779075506,39.45785801129511,8.4070796460177,1078.8734697568661,8.628482964338415,21 days 02:00:00,208,0.0,104,69.23076923076923,2.0568322531881558,-2.528309099388487,0.4854977466358402,-0.5917318645002018,0 days 02:59:22.500000,0 days 02:24:50.625000,3.7633097279322776,185.42733653846184,3.047909185205199,19.136117096796916,1.3953354592247051,5.976226074535109,BTCUSDT
Id-rather-be-me-orders_ETHUSDT,2023-11-22 00:00:00+00:00,2024-02-20 23:45:00+00:00,92 days 11:00:00,116225.84650000001,90400.26375151682,119514.42350000002,108596.1975633642,-6.5645027903804625,54.83352421256009,6.309148264984227,1120.0590000872944,24.360373330573942,39 days 20:15:00,140,0.0,71,51.42857142857142,1.2563785736518789,-3.5081517472450807,0.6523321118968305,-1.2266850225375117,0 days 04:37:30,0 days 09:04:24.705882352,0.7998059505685284,-76.17267352546867,-0.4470752619440532,-0.9786628382046159,0.9502838486153441,-0.6135876535801164,ETHUSDT
Everyone-gets-richaf-orders_BTCUSDT,2023-12-18 00:00:00+00:00,2024-01-25 00:00:00+00:00,38 days 08:45:00,4065.2312999999995,2359.4513000000115,4433.699100000005,2590.1243000000086,-36.28593039712134,-2.8007269462224094,6.543578604398588,1130.1671905090202,46.78368453104974,36 days 16:15:00,34,0.0,17,41.17647058823529,0.5646176185866417,-3.8035139123028845,0.3238006854457476,-2.0240008378223977,0 days 03:23:34.285714285,0 days 15:12:00,0.21709226336273427,-86.77099999999922,-3.620437425553134,-2.1093102478632173,0.8094714391562458,-4.57198912066796,BTCUSDT
Everyone-gets-richaf-orders_ETHUSDT,2023-12-19 00:00:00+00:00,2024-01-04 00:00:00+00:00,16 days 01:45:00,2351.0383000000006,2342.9092999999993,2771.5193,2495.883299999998,6.1608949543696285,0.11371481947708428,2.657161373946857,989.4250559049988,14.16291779025337,14 days 15:00:00,6,0.0,3,33.33333333333333,1.7052817322096565,-0.7820588512120282,1.7052817322096565,-0.5351735697501603,0 days 08:45:00,0 days 00:45:00,1.7510525988302015,48.2816666666663,2.118888142047445,20.531021453937726,1.21967658805684,2.8670375592409894,ETHUSDT
Jungle-law-orders_BTCUSDT,2023-12-18 00:00:00+00:00,2024-02-21 12:13:54.002000+00:00,70 days 04:30:00,123570.53879999998,107547.40048923844,139771.28880000027,116396.1296862219,-5.805922013004996,26.749472047180035,29.65271593944791,1062.83608738254,23.054726465941958,31 days 17:30:00,498,0.0,256,39.6078431372549,2.4484659949072394,-5.133688522571481,0.8669872510626812,-0.5514864854631192,0 days 11:16:02.376237623,0 days 06:59:48.311688311,0.9227667340685453,-23.21584371038921,0.024030125115915155,-1.2291520603110153,1.000969372503021,0.034051458285345025,BTCUSDT
Jungle-law-orders_ETHUSDT,2023-12-18 00:00:00+00:00,2024-02-21 12:03:24.004000+00:00,70 days 01:30:00,175318.63999999998,149078.24,218239.73999999987,201470.7399999995,14.916896457786526,37.24143268145181,18.28724353256021,1156.7076017799181,19.55383473125582,36 days 20:45:00,486,0.0,243,40.32921810699588,2.5178761380006014,-2.300885825532191,0.9867703412948979,-0.5383475285238964,0 days 08:37:02.448979591,0 days 10:58:51.724137931,1.4938863038008823,107.62181069958953,1.4276870492460614,5.982586937035525,1.093066790788433,2.1197884426748437,ETHUSDT
KyleGod-orders_BTCUSDT,2023-11-16 00:00:00+00:00,2024-02-21 12:13:13+00:00,99 days 00:00:00,9786.7321,9166.34110000001,12780.195900000035,10959.158100000028,11.979749604058629,38.173717845328724,11.689814814814815,867.4803472365268,16.255528602656167,24 days 09:45:00,192,0.0,96,38.54166666666667,5.463574660633497,-1.8540805785124004,1.2745400896492924,-0.7385049486564806,0 days 08:08:06.486486486,0 days 08:32:02.033898305,1.3617355020526916,12.212770833333444,1.2872522865537877,3.2437498711054396,1.0816514400359651,1.9786611384611668,BTCUSDT
KyleGod-orders_ETHUSDT,2023-11-16 00:00:00+00:00,2024-02-09 00:00:00+00:00,85 days 20:15:00,3967.7466999999997,3921.3377,5066.9897000000055,4433.802699999992,11.746112724383151,17.729136968907966,6.4312583424341705,951.9577251973194,17.278503644876146,30 days 02:45:00,80,0.0,40,60.0,4.143870361019352,-1.6372340517130084,0.5665879284119089,-0.3844068293197632,0 days 06:53:45,0 days 08:00:00,1.8694020314700361,11.65139999999985,1.218021597811297,3.5360739002050052,1.0974117513842196,1.8184266238830613,ETHUSDT
Capriccio-orders_BTCUSDT,2024-01-08 00:00:00+00:00,2024-02-08 00:00:00+00:00,31 days 02:45:00,22299.2611,20969.382299999997,41308.4841,31225.861099999976,40.03092281833489,1.1773064759274865,8.235687981252092,1057.078024658838,24.485891507212244,29 days 04:15:00,10,0.0,5,100.0,6.600882029605808,0.10782458054578285,2.745138508964536,,1 days 02:39:00,,inf,1785.3200000000047,3.509754324024051,210.78555577907505,1.3356210964086268,5.162484677139673,BTCUSDT
Capriccio-orders_ETHUSDT,2024-01-09 00:00:00+00:00,2024-02-13 00:00:00+00:00,35 days 06:15:00,21049.081800000004,18515.208799999993,59352.11083506973,40554.34740937062,92.66563641446163,14.66859616298506,98.43426883308715,938.2774014409175,37.49028726091045,31 days 12:45:00,24,0.0,14,76.92307692307693,10.697780277041998,-0.3147079259654196,6.927577516762559,-0.30893526302314606,9 days 05:21:00,0 days 00:40:00,42.61194492848401,1512.8660920484037,4.202526248816404,2482.176587407464,1.1383213719677034,7.019931779527142,ETHUSDT
